Barcode,Client Barcode
260000140333,810100126232
260000140332,320200126029
260000140331,320200126028
260000140329,320200126027
260000140328,320200126026
260000140327,320200126025
260000140326,320200126024
260000140325,320100126082
260000140324,320100126081
260000140323,110400126007
260000140322,110300226023
260000140321,830200126029
260000140319,110100226012
260000140318,110100226011
260000140317,110400126006
260000140315,730200126073
260000140314,730200126072
260000140313,730200126071
260000140312,730200126070
260000140311,730200126069
260000140310,730200126068
260000140309,730200126067
260000140308,730200126066
260000140307,730200126065
260000140306,730200126064
260000140304,730200126063
260000140303,110300126032
260000140302,730200126061
260000140301,730200126060
260000140299,730200126059
260000140298,730200126058
260000140297,730200126057
260000140296,730200126056
260000140295,110300126031
260000140294,730200126055
260000140293,110300326029
260000140292,730200126054
260000140290,730200126053
260000140289,730200126052
260000140288,730200126051
260000140287,730200126050
260000140286,730200126049
260000140285,730200126048
260000140284,730200126047
260000140283,730200126046
260000140282,730200126045
260000140281,730200126044
260000140280,730200126043
260000140279,730200126042
260000140278,730200126041
260000140277,730200126040
260000140276,730200126039
260000140275,730200126038
260000140274,730200126037
260000140273,730200126036
260000140272,730200126035
260000140271,730200126034
260000140270,730200126033
260000140269,730200126032
260000140268,710300326214
260000140267,710300326213
260000140266,710300326212
260000140265,710300326211
260000140264,710300326210
260000140263,710300326209
260000140262,710300326208
260000140261,110300426018
260000140260,730200126031
260000140259,730200126030
260000140258,730200126029
260000140257,730200126028
260000140256,730200126027
260000140255,730200126026
260000140254,730200126025
260000140253,730200126024
260000140252,730200126023
260000140251,730200126022
260000140250,730200126021
260000140249,730200126020
260000140248,730200126019
260000140247,730200126018
260000140246,730200126017
260000140245,920100126040
260000140244,920100126039
260000140243,210100426003
260000140242,210100426002
260000140241,730200126016
260000140240,730200126015
260000140239,730200126014
260000140238,730200126013
260000140237,140100326121
260000140236,730200126012
260000140235,730200126011
260000140234,730200126010
260000140233,730200126009
260000140232,730200126008
260000140231,730200126007
260000140230,730200126006
260000140229,730200126005
260000140228,730200126004
260000140227,730200126003
260000140226,730200126002
260000140224,730200126001
260000140222,130601026079
260000140221,130601026078
260000140219,920100126038
260000140218,810100126231
260000140215,810100326148
260000140214,810200126077
260000140213,810100126230
260000140212,920100126037
260000140211,810100126229
260000140210,810100126228
260000140209,810100126227
260000140208,320100126080
260000140207,320100126079
260000140206,810100126226
260000140205,920100126036
260000140204,810100126225
260000140203,420200226087
260000140201,320100126078
260000140200,810100126224
260000140199,810100126223
260000140198,810100126222
260000140197,420500226005
260000140196,410100126043
260000140195,140100326120
260000140194,810200326039
260000140193,140100326119
260000140192,810200326038
260000140191,140100326118
260000140190,140100326117
260000140189,140100326116
260000140188,140100326115
260000140187,140100326114
260000140186,240100126009
260000140185,810200426019
260000140184,810200526060
260000140183,110200326045
260000140182,510100126056
260000140181,510100126055
260000140180,110095191270
260000140179,510200226042
260000140178,510200226032
260000140177,830100126008
260000140176,810100226199
260000140175,520300226036
260000140174,510400226013
260000140173,510400226012
260000140172,620100126825
260000140171,110100226010
260000140169,110400126005
260000140168,110300426017
260000140167,110300126030
260000140166,130601026077
260000140165,520300226035
260000140164,210100426001
260000140163,810200526059
260000140162,130601126038
260000140160,130601126037
260000140159,130601126036
260000140158,510100126054
260000140157,920100126035
260000140156,920100126034
260000140155,920100126033
260000140153,110300126029
260000140152,110300126028
260000140151,110300126027
260000140150,110300126026
260000140149,130601126035
260000140148,130601126034
260000140147,810200226042
260000140146,310200226034
260000140145,310200226033
260000140144,310200226032
260000140143,310200226031
260000140142,320100226026
260000140140,310200226030
260000140139,320100126077
260000140138,320100126076
260000140137,130600626021
260000140136,320100126075
260000140135,310200226029
260000140134,130600626020
260000140133,320100126074
260000140132,310200226028
260000140131,320100126073
260000140130,310200226027
260000140129,310200226026
